Vaccine,Year,Measure Names,Value (USD),WAP
OCV,2004,WAP,,
OCV,2005,WAP,,
OCV,2006,WAP,,
OCV,2007,WAP,,
OCV,2008,WAP,,
OCV,2009,WAP,,
OCV,2010,WAP,,
OCV,2011,WAP,,
OCV,2012,WAP,,
OCV,2013,WAP,,
OCV,2014,WAP,,
OCV,2015,WAP,,
OCV,2016,WAP,,1.785714286
OCV,2017,WAP,,1.684615385
OCV,2018,WAP,,1.345360825
OCV,2019,WAP,,1.764146219
OPV,2000,WAP,,0.069367141
OPV,2001,WAP,,0.084761905
OPV,2002,WAP,,0.086855027
OPV,2003,WAP,,0.093975011
OPV,2004,WAP,,0.097130138
OPV,2005,WAP,,0.103276227
OPV,2006,WAP,,0.118598269
OPV,2007,WAP,,0.122906711
OPV,2008,WAP,,0.131781666
OPV,2009,WAP,,0.138128803
OPV,2010,WAP,,0.144289428
OPV,2011,WAP,,0.13051024
OPV,2012,WAP,,0.136016023
OPV,2013,WAP,,0.131598903
OPV,2014,WAP,,0.131232793
OPV,2015,WAP,,0.136741531
OPV,2016,WAP,,0.130848117
OPV,2017,WAP,,0.13248243
OPV,2018,WAP,,0.120375335
OPV,2019,WAP,,0.118436694
PCV,2000,WAP,,
PCV,2001,WAP,,
PCV,2002,WAP,,
PCV,2003,WAP,,
PCV,2004,WAP,,
PCV,2005,WAP,,
PCV,2006,WAP,,
PCV,2007,WAP,,
PCV,2008,WAP,,
PCV,2009,WAP,,
PCV,2010,WAP,,6
PCV,2011,WAP,,6.905817175
PCV,2012,WAP,,7.022108844
PCV,2013,WAP,,6.6306914
PCV,2014,WAP,,5.444228904
PCV,2015,WAP,,5.126307922
PCV,2016,WAP,,4.152265861
PCV,2017,WAP,,3.258905852
PCV,2018,WAP,,3.525230988
PCV,2019,WAP,,3.498138727
Rota,2000,WAP,,
Rota,2001,WAP,,
Rota,2002,WAP,,
Rota,2003,WAP,,
Rota,2004,WAP,,
Rota,2005,WAP,,
Rota,2006,WAP,,
Rota,2007,WAP,,
Rota,2008,WAP,,
Rota,2009,WAP,,
Rota,2010,WAP,,
Rota,2011,WAP,,
Rota,2012,WAP,,2.723577236
Rota,2013,WAP,,2.749034749
Rota,2014,WAP,,2.870431894
Rota,2015,WAP,,2.249357326
Rota,2016,WAP,,2.152603232
Rota,2017,WAP,,2.261410788
Rota,2018,WAP,,1.924598269
Rota,2019,WAP,,1.707097592
TT,2000,WAP,,0.029161604
TT,2001,WAP,,0.027945619
TT,2002,WAP,,0.030903328
TT,2003,WAP,,0.042757417
TT,2004,WAP,,0.048644892
TT,2005,WAP,,0.056179775
TT,2006,WAP,,0.05609493
TT,2007,WAP,,0.06167147
TT,2008,WAP,,0.06469604
TT,2009,WAP,,0.063962559
TT,2010,WAP,,0.067848882
TT,2011,WAP,,0.060175794
TT,2012,WAP,,0.062748213
TT,2013,WAP,,0.067842605
TT,2014,WAP,,0.068267067
TT,2015,WAP,,0.069967707
TT,2016,WAP,,0.075032342
TT,2017,WAP,,0.079518072
TT,2018,WAP,,0.084233261
TT,2019,WAP,,0.085504886
YF,2000,WAP,,0.15
YF,2001,WAP,,0.4
YF,2002,WAP,,0.381443299
YF,2003,WAP,,0.6
YF,2004,WAP,,0.518367347
YF,2005,WAP,,0.608695652
YF,2006,WAP,,0.742424242
YF,2007,WAP,,0.667721519
YF,2008,WAP,,0.670918367
YF,2009,WAP,,0.800539084
YF,2010,WAP,,0.872521246
YF,2011,WAP,,0.842553191
YF,2012,WAP,,0.805555556
YF,2013,WAP,,0.961651917
YF,2014,WAP,,1.025641026
YF,2015,WAP,,1.002777778
YF,2016,WAP,,1.090526316
YF,2017,WAP,,1.013986014
YF,2018,WAP,,1.146529563
YF,2019,WAP,,1.161951220
